CCT,Plantel,Subnivel,Subsistema,Municipio,Localidad,Colonia/Asentamiento,Calle,NumExt,Sostenimiento,Dependencia,Dominio (institucional público),Fuente (si aplica)
22MMS0260E,"UNIVERSIDAD TECNOLOGICA DE MEXICO BACHILLERATO, CAMPUS QUERETARO",BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,SAN PABLO,AVENIDA 5 DE FEBRERO,1412.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0312U,BACHILLERATO OMI,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,ANA,PRIVADA ANA,2.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0302N,BACHILLERATO OMI SAN JUAN DEL RIO,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,CENTRO,CALLE CUAUHTÉMOC,13.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0290Z,CEDVA PREPARATORIA,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,SAN CAYETANO,CALLE RIO CONCA,10.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0293W,CENTRO DE ESTUDIOS MEDIO SUPERIORES Y SUPERIORES,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,MEXICO,CALLE OAXACA,22.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0278D,CENTRO INTERACTIVO DE EDUCACIÓN Y ALTA ESPECIALIZACIÓN CIEE,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,CENTRO,AVENIDA CUATRO,97.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0196U,CENTRO UNION,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,CENTRO,CALLE IGNACIO LÓPEZ RAYÓN,126.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0136F,COLEGIO CONSTANTINO,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,BANTHI,AVENIDA UNIVERSIDAD,291.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0308H,COLEGIO CONSTITUYENTES DE QUERETARO,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,BOSQUES DE SAN JUAN,CIRCUITO VIÑEDOS,625.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0281R,COLEGIO DE CIENCIAS Y HUMANIDADES DE QUERETARO,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,SAN CAYETANO,CALLE RÍO LERMA,,PRIVADO,SOCIEDAD CIVIL,,
22MMS0200Q,COLEGIO LA SALLE SAN JUAN DEL RIO,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SANTA MATILDE,Espíritu Santo (Las Gallinas),CALLE MARAVILLAS,6.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0132J,COLEGIO MOTOLINIA DE SISTEMA EDUCATIVO VALLADOLID,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,FATIMA,PROLONGACIÓN ARTICULO 123,11.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0131K,CORREGIDORA,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,CENTRO,CALLE MARIANO JIMENEZ,20.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0263B,EDUCATIVA METROPOLITANA,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,SANTA CRUZ NIETO,AVENIDA CUATRO ORIENTE,97.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0181S,INSTITUTO DE ESTUDIOS SOCIALES Y ADMINISTRATIVOS DE QUERETARO,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,CENTRO,CALLE CORREGIDORA,162.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0149J,INSTITUTO PLANCARTE SAN JUAN DEL RIO,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,VALLE DE ORO,AVENIDA 3 PONIENTE,4.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0216R,INSTITUTO PREUNIVERSITARIO DEL CENTRO DE MEXICO CAMPUS SAN JUAN DEL RIO,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,CENTRO,AVENIDA JUAREZ PONIENTE,112.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0180T,INSTITUTO RENACIMIENTO PREPARATORIA,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,RANCHO BANTHI,CALLE SAN LUIS POTOSI,28.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0160F,INSTITUTO SANTIAGO (PREPARATORIA),BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,CENTRO,CALLE CEDROS,11.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0309G,LICEO INTERCULTURAL MEXICANO,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,CENTRO,CALLE MARIANO MATAMOROS,23.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0203N,PREPARATORIA CONIN,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,CENTRO,CALLE 5 DE MAYO,97.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0211W,PREPARATORIA INTERCULTURAL SAN PATRICIO,BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,REAL DE LOS NOGALES,CALLE CIRUELO,2.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0186N,"PREPARATORIA UNIVERSIDAD MARISTA DE QUERETARO, CAMPUS SAN JUAN DEL RIO",BACHILLERATO GENERAL,PRIVADO,SAN JUAN DEL RÍO,SAN JUAN DEL RÍO,CENTRO,CALLE IGNACIO ZARAGOZA,4.0,PRIVADO,ASOCIACIÓN CIVIL,umq.maristas.edu.mx,UMQ contact shows informes@umq.maristas.edu.mx
22MMS0156T,COLEGIO REAL DE QUERENDA BACHILLERATO,BACHILLERATO GENERAL,PRIVADO,TEQUISQUIAPAN,TEQUISQUIAPAN,POTRERO CARRIZAL,DOMICILIO CONOCIDO,216.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0193X,"INSTITUTO BILINGUE VICTORIA, A. C.",BACHILLERATO GENERAL,PRIVADO,TEQUISQUIAPAN,TEQUISQUIAPAN,BARRIO DE LA MAGDALENA,CALLE VICENTE SUAREZ,9.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0148K,INSTITUTO SOVANY,BACHILLERATO GENERAL,PRIVADO,TEQUISQUIAPAN,TEQUISQUIAPAN,EL PEDREGAL,CALLE POTRERO DE FRIJOLILLO,16.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0150Z,SANTIAGO GALAS,BACHILLERATO GENERAL,PRIVADO,TEQUISQUIAPAN,TEQUISQUIAPAN,CENTRO,CALLE POTRERO SOMBRERETE,8.0,PRIVADO,ASOCIACIÓN CIVIL,,
